IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
772,FACULDADES DOCTUM DE CARATINGA,DOCTUM,INSTITUTO ENSINAR BRASIL,Privada,5,3,Rua João Pinheiro,147,Centro,CAMPUS  - CARATINGA,35300037.0
773,FACULDADES INTEGRADAS DE ARARAQUARA,FIAR,ASSOCIACAO ESCOLA DE AGRIMENSURA DE ARARAQUARA,Privada,5,3,Avenida Brasil,782,Centro,,14801050.0
774,FACULDADE UNIME DE CIÊNCIAS SOCIAIS,FCS,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.,Privada,4,3,Avenida Avenida Luiz Tarquínio Pontes,600,Centro,,42702420.0
775,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,FACISA,CENTRO DE ENSINO SUPERIOR DO EXTREMO SUL DA BAHIA LTDA,Privada,4,3,Rodovia Br 101 Km 808,1130,Santo Antonio do Monte,PRÉDIO,45836000.0
776,FACULDADE ALFREDO NASSER,FAN,ASSOCIACAO APARECIDENSE DE EDUCACAO,Privada,5,3,Avenida Bela Vista,26,Jardim das Esmeralda,,74905020.0
777,FACULDADE EDUCACIONAL DE MEDIANEIRA,UDC Medianeira,DIRETIVA ADMINISTRADORA DE PARTICIPACOES LTDA,Privada,4,3,Rua Rio Branco,1820,CENTRO,,85884000.0
778,CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ,UNIARAXÁ,FUNDACAO CULTURAL DE ARAXA,Privada,5,2,Av. Ministro Olavo Drummond,5,SÃO GERALDO,CAMPUS UNIVERSITÁRIO,38180084.0
779,INSTITUTO DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS,FASERRA,INSTITUTO DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS,Privada,5,3,Rua L,11,Rosário de Fátima,,29161152.0
780,FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ,FACINOR,FUNDACAO DE APOIO AO DESENVOLVIMENTO EDUCACIONAL DO NOROESTE DO PARANA,Privada,5,3,Rua Mato Grosso,240,Alto da Glória,Térreo,87900000.0
781,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA SUL-RIO-GRANDENSE - RS",Pública,1,4,Rua Gonçalves Chaves,3218,Centro,,96015560.0
782,FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES,FACESA,CENTRO TECNOLOGICO DE EDUCACAO SENA AIRES LTDA,Privada,4,3,Rua Acre Quadra 2,17/18,Chácaras  Anhanguera,,72870508.0
783,FACULDADE DE SANTA LUZIA,FACSAL,UNIESP S.A,Privada,5,3,Av. Beira Rio,2000,Distrito Industrial III,,33040260.0
784,FACULDADE DE TECNOLOGIA DE INDAIATUBA,FATEC-ID,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,Pública,2,3,Rua Dom Pedro I,65,Cidade Nova I,,13334100.0
785,FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ,FATEC GT,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,Pública,2,3,Avenida Professor João Rodrigues Alckimin,1501,Jardim Esperança,,12517010.0
