IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
3244,FACULDADE DE OLÍMPIA,,UNIESP S.A,Privada,4,3,Rua Bruno Riscali,S/Nº,Vila Hípica,-,15400000.0
3245,FACULDADE SANTA RITA,FASAR,DORA RISCALA NEMI COSTA S/S LTDA - EPP,Privada,4,3,Rua Doutor Mário Florence,144,Jardim Aeroporto,-,14960000.0
3246,FACULDADE NETWORK,NWK,COLEGIO NET WORK S/S LTDA,Privada,4,3,Avenida Ampélio Gazzetta,2445,Lopes Iglesias,-,13460000.0
3247,FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA,FCAA,FUNDACAO EDUCACIONAL DE ANDRADINA,Privada,5,3,Rua Amazonas,571,Sttela Maris,-,16901160.0
3248,FACULDADE MARECHAL RONDON,FMR,ASSOCIACAO EDUCACIONAL NOVE DE JULHO,Privada,5,3,Viscinal Nilo Lisboa Chavasco,5000,Chacara Saltinho,-,18650000.0
3249,FACULDADE PITÁGORAS DE LONDRINA,,UNIAO DE ENSINO UNOPAR LTDA,Privada,4,3,Rua Edwy Taques de Araújo,900,Jardim Burle Marx,Pitágoras Catuaí,86047790.0
3250,FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS DE MACEIÓ,FAMA,ADMINISTRACAO ALAGOANA DE CURSO SUPERIOR LTDA,Privada,4,3,Rua Roberto Simonsen,s/n,Gruta de Lourdes,-,57052675.0
3251,CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA,UNISBA,ASSOCIACAO BRASILEIRA DE EDUCACAO FAMILIAR E SOCIAL,Privada,5,2,Avenida Oceânica,2717,Ondina,-,40170110.0
3252,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,Privada,4,3,Praça José Bastos,55,Centro,-,45600080.0
3253,FACULDADE UNIME DE EDUCAÇÃO E COMUNICAÇÃO,FEC,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Avenida Luiz Tarquínio Pontes,600,Centro,-,42702420.0
3254,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ,FTC,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,Privada,4,3,Av Avenida Adolfo Ribeiro,357,São Judas Tadeu,-,45204068.0
3255,FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO,FECIPAR,FUNDACAO EDUCACIONAL DE PARAISO DO TOCANTINS FEPAR,Pública,3,3,Rua L-20,S/N,Interlagos,-,77600000.0
3256,FACULDADE DE ENSINO E CULTURA DO CEARÁ,FAECE,ASCEC ENSINO SUPERIOR CEARENSE LTDA,Privada,4,3,Rua Caetano Ximenes Aragão,110,Engenheiro Luciano Cavalcante,Instituto de Ensino Superior do Ceará - IESC,60040531.0
3257,FACULDADE DE CIÊNCIA E EDUCAÇÃO DO CAPARAÓ,FACEC,SOCIEDADE EDUCACIONAL SUPERIOR LTDA,Privada,4,3,Avenida José Alexandre,713,Centro,-,29560000.0
3258,INSTITUTO DE ENSINO SUPERIOR DE TERESINA,IEST,AESPI ENSINO SUPERIOR DO PIAUI LTDA.,Privada,5,3,Rua Walfran Batista,91,São Cristóvão,Unidade Walfram,64046470.0
3259,CENTRO UNIVERSITÁRIO UNISEP,CEUUN,UNISEP-UNIAO DE ENSINO DO SUDOESTE DO PARANA S/C LTDA,Privada,4,2,Avenida Presidente Kennedy,2.601,Nossa Senhora Aparecida,-,85660000.0
3260,CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA,UNIGRANDE,CEUDESP - CENTRO DE EDUCACAO UNIVERSITARIO E DESENVOLVIMENTO PROFISSIONAL LTDA,Privada,4,2,Avenida Porto Velho,401,João XXIII,-,60520102.0
3261,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,ESTÁCIO BRASÍLIA,IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO,Privada,4,2,CSG 09,Lotes 15/16,Taguatinga,TAGUATINGA,72035509.0
3262,Faculdade Projeção de Sobradinho,FAPRO,GUATAG - SOCIEDADE DE ASSISTENCIA EDUCACIONAL LTDA,Privada,5,3,Quadra 04 Área Reservada 01 - Região Administrativa V,s/n,Sobradinho,-,73025040.0
3263,Centro Universitário Araguaia,UNIARAGUAIA,SOCIEDADE DE EDUCACAO E CULTURA DE GOIAS S/C LTDA,Privada,4,2,Avenida T-10,1047,Setor Bueno,Unidade Bueno,74223060.0
3264,FACULDADE DA SAÚDE E ECOLOGIA HUMANA,FASEH,CENTRO DE ENSINO SUPERIOR DE VESPASIANO LTDA,Privada,4,3,Rua São Paulo,958,Jardim Alterosa,-,33200664.0
3265,CENTRO UNIVERSITÁRIO UNIHORIZONTES,,INSTITUTO NOVOS HORIZONTES DE ENSINO SUPERIOR E PESQUISA LTDA.,Privada,4,2,Rua Alvarenga Peixoto,1270,Santo Agostinho,SEDE -CAMPUS  - BELO HORIZONTE - SANTO AGOSTINHO,30180121.0
3266,INSTITUTO METROPOLITANO DE ENSINO SUPERIOR,IMES,UNIVACO - UNIAO EDUCACIONAL DO VALE DO ACO S.A.,Privada,4,3,Rua João Patrício Araújo,179,Veneza,-,35164251.0
3267,FACULDADE ASA DE BRUMADINHO,IECEMB - FAB,INSTITUICAO EDUCACIONAL CECILIA MARIA DE MELO BARCELOS LTDA,Privada,4,3,Rodovia Mg 040,Km 49,.,-,35460000.0
3268,CENTRO UNIVERSITÁRIO SÃO MIGUEL,UNISÃOMIGUEL,SOCIEDADE CULTURAL E EDUCACIONAL SANTA RITA DE CASSIA LTDA - ME,Privada,4,2,Edifício Portal da Boa Vista,130,Boa Vista,Campus Fernandes Vieira,50060001.0
3269,FACULDADE DE ENSINO SUPERIOR DO PIAUÍ,FAESPI,C VIEIRA SERVICOS - EPP,Privada,4,3,Rua Primeiro de Maio,2235,Primavera,-,64002510.0
3270,FACULDADE DE CAMPINA GRANDE DO SUL,FACSUL,SOCIEDADE DE ENSINO SUPERIOR DO LESTE DO PARANA LTDA - EPP,Privada,4,3,Rua Duilio Calderari,600,Jardim Paulista,-,83430000.0
3271,Faculdade Unirb - Mossoró,F. UNIRB,SOCIEDADE EDUCACIONAL MATER CHRISTI LTDA,Privada,4,3,Avenida Francisco Mota,3310,Presidente Costa e Silva,UNIRB MOSSORO NOVA SEDE,59625300.0
3272,FACULDADE SALESIANA MARIA AUXILIADORA,FSMA,INSTITUTO N S DA GLORIA,Privada,5,3,Rua Monte Elísio,s/n,Visconde de Araújo,-,27943200.0
3273,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE TERESINA,,CENTRO DE ENSINO SUPERIOR PIAUIENSE LTDA,Privada,4,2,Avenida Joquei Clube,710,Joquei Clube,-,64049240.0
3274,FACULDADE DE SÃO VICENTE,FSV,UNIAO BRASILEIRA EDUCACIONAL LTDA.,Privada,4,3,Avenida Capitão Mor Aguiar,798,Centro,-,11310200.0
3275,FACULDADE ITANHAÉM,FAITA,UNIDADE DE ENSINO SUPERIOR DE ITANHAEM LTDA,Privada,4,3,Avenida Embaixador Pedro de Toledo,196,Centro,-,11740000.0
3276,ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI,ESUCRI,ESUCRI - ESCOLA SUPERIOR DE CRICIUMA LTDA,Privada,4,3,Rua Gonçalves Ledo,185,Centro,-,88802180.0
3277,FACULDADE CENTRAL DE CRISTALINA,FACEC,SOCIEDADE CENTRAL DE ENSINO SUPERIOR - EPP,Privada,4,3,Rua Getúlio Vargas,1.478,Centro,-,73850000.0
3278,CENTRO UNIVERSITÁRIO FACOL,UNIFACOL,"ASSOCIACAO VITORIENSE DE EDUCACAO, CIENCIAS E CULTURA - AVEC",Privada,5,2,Rua do Estudante,85,Universitário,-,55612285.0
3279,FACULDADE MACHADO DE ASSIS,FAMA,ASSOCIACAO EDUCACIONAL MACHADO DE ASSIS,Privada,5,3,Praça Marquês de Herval,4,Santa Cruz,-,23510140.0
3280,CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA,ESTÁCIO AMAZÔNIA,SOCIEDADE EDUCACIONAL ATUAL DA AMAZONIA LTDA,Privada,4,2,Rua Jornalista Humberto Silva,308,União,-,69313792.0
3281,FACULDADE UNIBRAS DE GOIÁS,FACBRAS,ASSOCIACAO DE ENSINO SUPERIOR DE GOIAS-AESGO,Privada,5,3,Rua 12 de Outubro,40,Centro,-,75906577.0
3282,INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR,IPESU,APESU ENSINO SUPERIOR DE PERNAMBUCO LTDA,Privada,4,3,Rua São Miguel,176,Afogados,Afogados,50770720.0
3283,Centro Universitário Tiradentes de Pernambuco,UNIT PE,SOCIEDADE DE EDUCACAO TIRADENTES S.A,Privada,4,2,Rua Barão de São Borja - 421 ao fim - ímpar,427,Boa Vista,-,50070135.0
3284,FACULDADE ANHANGUERA DE NEGÓCIOS E TECNOLOGIAS DA INFORMAÇÃO,,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,Privada,4,3,Quadra QS 1 Rua 210,40,Taguatinga Sul,Salas 2031 A e B e Salas 2037 A e B,71950770.0
3285,FACULDADE DE PRESIDENTE PRUDENTE,FAPEPE,UNIESP S.A,Privada,4,3,Avenida Presidente Prudente,6093,Jardim Aeroporto,-,19053210.0
3286,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE TERESINA,FACET,ASSOCIACAO PIAUIENSE DE ENSINO SUPERIOR LTDA - ME,Privada,4,3,Rua Areolino de Abreu,1941,Centro/Norte,-,64000180.0
3287,FACULDADE DE TECNOLOGIA DE SÃO VICENTE,FATEF,FORTEC ASSESSORIA E TREINAMENTO LTDA,Privada,4,3,Avenida Presidente Wilson,1013,Gonzaguinha,-,11320001.0
3288,ESCOLA SUPERIOR DE GESTÃO COMERCIAL E MARKETING,ESIC,ASSOCIACAO DEHONIANA BRASIL MERIDIONAL,Privada,5,3,Rua Padre Dehon,814,Hauer,-,81630090.0
3289,Faculdade de Imperatriz Wyden,Facimp Wyden,A. REGIAO TOCANTINA DE EDUCACAO E CULTURA LTDA.,Privada,4,3,Avenida Prudente de Moraes,s/n,Residencial Kubitschek,-,65914335.0
3290,FACULDADE NOBRE DE FEIRA DE SANTANA,FAN,GRUPO NOBRE DE ENSINO LTDA,Privada,4,3,Avenida Maria Quitéria,2116,Centro,- de 1902 a 2316 - lado par,44001008.0
3291,FACULDADE MINAS GERAIS,FAMIG,CESMIG - CENTRO DE ENSINO SUPERIOR MINAS GERAIS LTDA - ME,Privada,4,3,Avenida do Contorno,10185,Barro Preto,- de 9697 a 10195 - lado ímpar,30110067.0
3292,FACULDADE DE VIÇOSA,FDV,ASSOCIACAO VICOSENSE DE ENSINO E PESQUISA LTDA - AVEP - VICOSA - EPP,Privada,4,3,Rua Gomes Barbosa,870,Centro,-,36570101.0
3293,STRONG BUSINESS SCHOOL,,CENTRO DE ENSINO SUPERIOR STRONG,Privada,5,3,Avenida Industrial,1455,Jardim,ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG,9080510.0
3294,FACULDADE XV DE AGOSTO,FAQ,FACULDADES XV DE AGOSTO LTDA - EPP,Privada,4,3,Avenida Xv de Agosto,1210,Centro,-,13960000.0
3295,CENTRO UNIVERSITÁRIO SANTA AMÉLIA,SECAL,SOCIEDADE EDUCATIVA E CULTURAL AMELIA S/C LTDA - EPP,Privada,4,2,Rua Barão do Cerro Azul,827,Centro,Campus Barão do Cerro Azul,84010210.0
3296,FACULDADE INTERAMERICANA DE PORTO VELHO,UNIRON,UNIRON - UNIAO DAS ESCOLAS SUPERIORES DE RONDONIA LTDA.,Privada,4,3,Avenida Mamoré,1.520,Cascalheira,- de 1402 a 1520 - lado par,76813000.0
3297,Centro Universitário Facid Wyden,,YDUQS EDUCACIONAL LTDA.,Privada,4,2,Rua Veterinário Bugyja Brito,1354,Horto Florestal,-,64051210.0
3298,CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO,UNILEÃO,INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA,Privada,4,2,Avenida Padre Cícero,2830,Triângulo,-,63041040.0
3299,CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO,UNILASALLE/RJ,ASSOCIACAO BRASILEIRA DE EDUCADORES LASSALISTAS,Privada,5,2,Rua Gastão Gonçalves,79,Santa Rosa,-,24240030.0
3300,FACULDADE UNIBRASÍLIA SUL,BRASÍLIA,CESCO - CENTRO DE ENSINO SUPERIOR DO CENTRO OESTE LTDA,Privada,5,3,Área Especial 34,s/n,Setor Central (Gama),Lado Leste,72405610.0
3301,FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE,CSET DRUMMOND,SOCIEDADE EDUCACIONAL SOIBRA S/S LTDA,Privada,4,3,Avenida São Miguel,4335,Ponte Rasa,Unidade Ponte Rasa,3620001.0
3302,Faculdade Interativa de São Paulo,FAISP,CENTRO EDUCACIONAL JOVEM APRENDIZ DO BRASIL,Privada,4,3,Rua Heloísa Penteado,327,Vila Esperança,-,3649010.0
3303,FACULDADE LUSO-BRASILEIRA,FALUB,ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA,Privada,5,3,Avenida Congresso Eucarístico Internacional,1,Santa Cruz,- de 1/2 a 99998/99999,55811000.0
3304,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA,FACENE,ESCOLA DE ENFERMAGEM NOVA ESPERANCA LTDA,Privada,4,3,Av. Frei Galvão,12,Gramame,-,58067695.0
3305,FACULDADE ASSOCIADA BRASIL,FAB,SOCIEDADE BRASILEIRA DE ENSINO SUPERIOR,Privada,5,3,Rua Tiquatira,243,Bosque da Saúde,-,4137111.0
3306,FACULDADE INDEPENDENTE DO NORDESTE,FAINOR,FAINOR FACULDADE INDEPENDENTE DO NORDESTE LTDA,Privada,4,3,Avenida Luís Eduardo Magalhães,1305,Candeias,CAMPUS  - VITÓRIA DA CONQUISTA - CANDEIAS,45028440.0
3307,FACULDADE PADRE JOÃO BAGOZZI,FACULDADE BAGOZZI,CONGREGACAO DOS OBLATOS DE SAO JOSE,Privada,5,3,Rua Caetano Marchesini,952,Portão,-,81070110.0
3308,FACULDADE DE TECNOLOGIA E NEGÓCIOS CARLOS DRUMMOND DE ANDRADE,,SOCIEDADE EDUCACIONAL SOIBRA S/S LTDA,Privada,4,3,Av. Penha de França,35,Penha,-,3606010.0
3309,FACULDADE DE TECNOLOGIA SENAI CHAPECÓ,SENAI,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL,Privada,5,3,Rua Frei Bruno,201 E,Parque das Palmeiras,-,89803785.0
3310,FACULDADE ESPÍRITO SANTENSE,UNICAPE,UNIAO CAPIXABA DE ENSINO,Privada,5,3,Rua São Jorge,2,Alto Laje,-,29151120.0
3311,Centro Universitário Fanor Wyden,UniFanor Wyden,YDUQS EDUCACIONAL LTDA.,Privada,4,2,Rua Antonio Gomes Guimarães,150,Dunas,Prédio,60325001.0
3312,CENTRO UNIVERSITÁRIO FAI,,UCEFF - UNIDADE CENTRAL DE EDUCACAO FAI FACULDADES LTDA,Privada,4,2,Rua Carlos Kummer,100,Universitário,Centro Universitário FAI,89896000.0
3313,FACULDADE EDUCACIONAL DE PONTA GROSSA,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rua Tibúrcio Pedro Ferreira,55,Centro,-,84010090.0
3314,Centro Universitário Favip Wyden,UniFavip Wyden,SOCIEDADE DE EDUCACAO DO VALE DO IPOJUCA LTDA,Privada,4,2,Avenida Adjar da Silva Casé,800,Indianópolis,-,55024740.0
3315,Faculdade Anhanguera de Tecnologia de Jundiaí,,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,Privada,4,3,Rua do Retiro,3.000,Retiro,-,13209355.0
3316,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIVINCI,SOCIEDADE EDUCACIONAL DO VALE DO ITAPOCU S/S LTDA.,Privada,4,2,Rodovia Br 280 Km 60,15885,Imigrantes,-,89270000.0
3317,FACULDADE AIEC,AIEC / FAAB,ASSOCIACAO INTERNACIONAL DE EDUCACAO CONTINUADA - AIEC,Privada,4,3,"SEPS 712/912, Conjunto A",s/n,Asa Sul,"UPIS, Campus 1, Bloco B, Térreo, Salas 5, 6 e 7",70390125.0
3318,FACULDADE HORIZONTINA,FAHOR,INSTITUICAO SINODAL DE ASSISTENCIA EDUCACAO E CULTURA,Privada,5,3,Avenida dos Ipês,565,Esq. Eldorado,Campus Arnoldo Schneider,98920000.0
3319,FACULDADE INTESP,INTESP,INSTITUTO TECNOLOGICO DO SUDOESTE PAULISTA SYLVESTRE FERRAZ EGREJA,Privada,5,3,Rua Deoclides da Silva Guidio,469,Centro,-,18950000.0
3320,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,FACISA,FUNDACAO UNIVERSIDADE DO OESTE DE SANTA CATARINA,Privada,5,3,Rodovia Br 282 Km 528,S/N,Linha Limeira,-,89825000.0
3321,FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,FAAL,PHD EDUCACIONAL LTDA - ME,Privada,4,3,Avenida Engenheiro Antonio Eugênio Lucato,2515,Vila Camargo,-,13486085.0
3322,FACULDADE CATUAÍ,ICES,AEC - ASSOCIACAO DE ENSINO DE CAMBE,Privada,4,3,Rua Bento Munhoz da Rocha Neto,210,Condomínio Residencial Castelo Branco,-,86186125.0
3323,FACULDADE DO SUL DA BAHIA,FASB,FUNDACAO FRANCISCO DE ASSIS,Privada,5,3,Rua Sagrada Família,120,Bela Vista,-,45990283.0
3324,FACULDADES LONDRINA,,UNIAO LONDRINENSE DE ENSINO LTDA,Privada,4,3,Avenida Anália Franco,750,Cervejaria,Esquina com Avenida São João,86039560.0
3325,Faculdade REGES de Realeza,,REDE GONZAGA DE ENSINO SUPERIOR - REGES,Privada,5,3,Rodovia Pr,281,Rodovia,Km 2,85770000.0
3326,FACULDADE DOM BOSCO DE UBIRATÃ,DOM BOSCO UBIRATÃ,FUNDACAO CULTURAL XINGU,Privada,5,3,Avenida Clodoaldo de Oliveira,1.117,Centro,-,85440000.0
3327,FACULDADE DE MAUÁ - FAMA,FAMA,UNIESP S.A,Privada,5,3,Rua Vitorino Dell'Antônia,349,Vila Noemia,-,9370570.0
3328,CENTRO UNIVERSITÁRIO DOS GUARARAPES,UNIFG,SOCEC- SOCIEDADE CAPIBARIBE DE EDUCACAO E CULTURA LTDA,Privada,4,2,Rua Comendador José Didier,27,Piedade,-,54400160.0
3329,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA",Pública,1,4,Rua Jorge Dumar,1703,Jardim América,-,60410426.0
3330,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO,Pública,1,4,Avenida Rio Branco,50,Santa Lucia,-,29056255.0
3331,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO",Pública,1,4,Avenida Professor Luiz Freire,500,Curado,-,50740540.0
3332,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO",Pública,1,4,Rua Pedro Vicente,625,Canindé,-,1109010.0
3333,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE GOIAS",Pública,1,4,Avenida Assis Chateaubriand,1658,Setor Oeste,-,74130012.0
3334,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",IFAM,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS",Pública,1,4,Avenida Sete de Setembro,1975,CENTRO,-,69020120.0
3335,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO PARA",Pública,1,4,Avenida João Paulo II,514,Castanheira,-,66840690.0
3336,INSTITUTO DE ENSINO SUPERIOR DE BAURU,IESB,UNIESP S.A,Privada,4,3,Rua Anhangüera,set./19,Vila Flores,-,17013190.0
3337,Faculdade Estácio de Curitiba,ESTÁCIO CURITIBA,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",Privada,4,3,Av. Senador Souza Naves,1715,Cristo Rei,-,80050152.0
3338,FACULDADE PITÁGORAS DE BELO HORIZONTE,FPAS,PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA,Privada,4,3,Rua Santa Madalena Sofia,25,Cidade Jardim,Unidade Cidade Acadêmica (SEDE),30380650.0
3339,CENTRO UNIVERSITÁRIO FARIAS BRITO,,ORGANIZACAO EDUCACIONAL FARIAS BRITO LTDA,Privada,4,2,Rua Castro Monte,1364,Varjota,-,60175230.0
3340,FACULDADE LIONS,FAC-LIONS,FUNDACAO EDUCACIONAL DE GOIAS,Privada,5,3,Alameda dos Bambus,-,Sítio de Recreio Mansões Bernardo Sayão,Unidade Sede II,74681210.0
3341,INSTITUTO DE ENSINO SUPERIOR DO AMAPÁ,IESAP,"MODERNO-CENTRO DE ENSINO, EDUCACAO E CULTURA LTDA",Privada,4,3,Avenida Feliciano Coelho,125,Trem,-,68901025.0
3342,FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS,FEAD,ASSOCIACAO PROPAGADORA ESDEVA,Privada,5,3,Rua Cláudio Manoel,1162,Funcionários,-,
3343,FACULDADE LUTERANA DE TEOLOGIA,FLT,UNIAO CRISTA - ASSOCIACAO SOCIAL E EDUCACIONAL,Privada,5,3,"Wally Malschitzki, Enfermeira - r- M Preto",164,Mato Preto,-,89285295.0
3344,ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO,ESCOLA DA CIDADE,ASSOCIACAO ESCOLA DA CIDADE - ARQUITETURA E URBANISMO,Privada,5,3,Rua General Jardim,65/51,Vila Buarque,-,1223011.0
3345,FACULDADE ANHANGUERA DE PASSO FUNDO,,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,Privada,4,3,Rua Paissandu,1200,Centro,- de 1103/1104 a 1527/1528,99010101.0
3346,FACULDADE DE AGUDOS,FAAG,CENTRO DE ENSINO SUPERIOR DE AGUDOS,Privada,5,3,Avenida Marginal Vereador Delfino Tendolo,D 1200,Distrito Industrial Hatsuta,-,17123220.0
3347,Faculdade de Colinas do Tocantins,,UNIESP S.A,Privada,4,3,Rua Goianésia,1132,Novo Planalto,-,77760000.0
3348,CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB,UNIFEOB,FUNDACAO DE ENSINO OCTAVIO BASTOS,Privada,5,2,Av. Dr. Octávio da Silva Bastos,2439,Jardim Nova São João,Campus II - Mantiqueira,13874159.0
3349,FACULDADES INTEGRADAS RIO BRANCO,FRB,UNIAO BANDEIRANTE DE EDUCACAO E CULTURA S.A.,Privada,4,3,Rua Maria Cândida,1813,Vila Guilherme,Maria Cândida,2071013.0
3350,FACULDADE CASTELO BRANCO,FCB,FUNDACAO EDUCACIONAL PRESIDENTE CASTELO BRANCO,Privada,5,3,Avenida Brasil,1303,Maria das Graças,-,29705100.0
3351,CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE,TOLEDO PRUDENTE,ASSOCIACAO EDUCACIONAL TOLEDO,Privada,5,2,Praça Raul Furquim,9,Vila Furquim,-,19030430.0
3352,FACULDADES INTEGRADAS MACHADO DE ASSIS,FEMA,FUNDACAO EDUCACIONAL MACHADO DE ASSIS,Privada,5,3,Rua Rua Santos Dumont,820,Centro,-,98780109.0
3353,FACULDADE DE ADMINISTRAÇÃO DE CAMPO BELO,FACAMP,CEMES CENTRO MINEIRO DO ENSINO SUPERIOR,Privada,5,3,Rua Professora Lady Alvarenga Neves,30,Jardim Europa,-,37270000.0
3354,FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA,FISMA,FUNDACAO EDUCACIONAL DE ANDRADINA,Privada,5,3,Rua Amazonas,571,Stella Maris,-,16901160.0
3355,CENTRO UNIVERSITÁRIO DE LINS,UNILINS,FUNDACAO PAULISTA DE TECNOLOGIA E EDUCACAO,Privada,5,2,Avenida Nicolau Zarvos,1925,Jardim Aeroporto,-,16401371.0
3356,FACULDADE PITÁGORAS DE IMPERATRIZ,,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,Privada,4,3,Rua Godofredo Viana,1271,São José do Egito,UNIDADE SEDE,65900430.0
3357,FACULDADE SABERES,SABERES,SABERES INSTITUTO DE ENSINO LTDA - EPP,Privada,4,3,Av. Cezar Helal,1180,Praia do Suá,"Ed. São Jorge, 2º e 3º pavimentos",
3358,Centro Universitário UNIBTA,,CETTAA EDUCACIONAL LTDA,Privada,4,2,Rua Cubatão,726,Vila Mariana,Centro Universitário UNIBTA,4013003.0
3359,CLARETIANO - CENTRO UNIVERSITÁRIO,,ACAO EDUCACIONAL CLARETIANA,Privada,5,2,Avenida Santo Antonio Maria Claret,1724,Jardim Claret,- de 1144/1145 a 1723/1724,13503257.0
3360,FACULDADE DO NORTE NOVO DE APUCARANA,FACNOPAR,CESA - CENTRO DE ESTUDO SUPERIOR DE APUCARANA,Privada,5,3,Avenida Zilda Seixas Amaral,4350,Parque Industrial Norte,-,86806380.0
3361,FACULDADE DEHONIANA,DEHONIANA,ASSOCIACAO DEHONIANA BRASIL MERIDIONAL,Privada,5,3,Avenida Francisco Barreto Leme,550,Vila São Geraldo,-,12062000.0
3362,FACULDADE DE CIÊNCIAS GERENCIAIS PADRE ARNALDO JANSSEN,FAJANSSEN,ASSOCIACAO PROPAGADORA ESDEVA,Privada,5,3,Praça João Pessoa,200,Funcionários,-,
3363,FACULDADE DA REGIÃO SERRANA,FARESE,INSTITUTO DE ENSINO SUPERIOR DA REGIAO SERRANA LTDA,Privada,4,3,Rua Jequitibá,121,Centro,-,29645000.0
3364,FACULDADE INTERVALE,INTERVALE,INTERVALE ENSINO E PESQUISA EIRELI,Privada,4,3,RUA MIGUEL ROAS HUEBRA,360,CENTRO,NOVA SEDE - CENTRO,35290000.0
3365,FACULDADE DA ASSOCIAÇÃO BRASILIENSE DE EDUCAÇÃO,FABE,ASSOCIACAO BRASILIENSE DE EDUCACAO,Privada,5,3,Rua José Posser,275,Pelegrino,-,99150000.0
3366,FACULDADE SANTOS DUMONT,FSD,FUNDACAO EDUCACIONAL SAO JOSE,Privada,5,3,Avenida Getúlio Vargas,547,Centro,-,36240000.0
